Bank,City,BIC
"WESTPAC NEW ZEALAND LIMITED, A WHOLLY OWNED SUBSIDIARY OF WESTPAC BANKING CORPORATION",AUCKLAND,WPACNZ2W
9 PAYMENT SERVICE BANK LIMITED,LAGOS,IPSBNGLA
TITAN TRUST BANK LIMITED,LAGOS,TTRUNGLA
UNITED BANK FOR AFRICA PLC,LAGOS,UNAFNGLA004
UNITED BANK FOR AFRICA PLC,PORT HARCOURT,UNAFNGLA080
ADEVINTA ASA,OSLO,ADNANOKK
LIVSFORSIKRINSSELSKAPET NORDEA LIV NORGE AS,BERGEN,LNLNNOB2D10
NORGES BANK,OSLO,NBHKNOKKMOA
SPAREBANK 1 SR-BANK ASA,HAUGESUND,SPRONO22HAU
AL-AMANAH ISLAMIC INVESTMENT BANK OF THE PHILIPPINES,CITY OF MAKATI,AIIPPHMM
"INDUSTRIAL BANK OF KOREA, MANILA BRANCH",CITY OF MANILA,IBKOPHMM
"RURAL BANK OF PORAC (PAMP), INC.",CITY OF ANGELES,RUPPPHM2
AION S.A. SPOLKA AKCYJNA ODDZIAL W POLSCE,WARSZAWA,BMPBPLPP
BANK OF CHINA (EUROPE) S.A. POLAND BRANCH,WARSZAWA,BKCHPLPX
MBANK S.A. (FORMERLY BRE BANK S.A.),KALISZ,BREXPLPWKAL
PKO BANK POLSKI S.A.,BIALYSTOK,BPKOPLPWBIA
PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,WARSZAWA,PTFIPLPWP65
PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,WARSZAWA,PTFIPLPWE40
"ABANCA CORPORACION BANCARIA, SA, SUCURSAL EM PORTUGAL",LISBON,CAGLPTPL
BANCO DE PORTUGAL,LISBON,BGALPTTGMMI
CAIXA GERAL DE DEPOSITOS,LISBON,CGDIPTPLMRS
VIVA PAYMENT SERVICES S.A. SUCURSAL EM PORTUGAL,LISBON,VPAYPTP2
A1 TELECOM NETWORK ISP SRL,BUCHAREST,TNISROB2
BANCA TRANSILVANIA S.A.,DEVA,BTRLRO22HDA
BRD - GROUPE SOCIETE GENERALE SA,BUCHAREST,BRDEROBU
'BANK SGB' JSC,VOLOGDA,SGAZRU22
BANK 131 LIMITED LIABILITY COMPANY,KAZAN,PAYXRU2U
CB ''J.P. MORGAN BANK INTERNATIONAL'' (LLC),MOSCOW,CHASRUMX
FAR EASTERN BANK,VLADIVOSTOK,FAEBRU8V
JOINT STOCK COMPANY BBR BANK,VLADIVOSTOK,BADJRUMMVLD
KREMLYOVSKIY COMMERCIAL BANK LTD,MOSCOW,KREMRUMM
PJSC BANK PRIMORYE,VLADIVOSTOK,UNEPRU8V
RUSNARBANK,MOSCOW,RUNBRUMM
SDM-BANK PJSC,VORONEZH,SJSCRUMMVRN
ABAXX CLEARING PTE. LTD.,SINGAPORE,ACLPSGSG
BANK OF TAIWAN,SINGAPORE,BKTWSGSG
CITY DEVELOPMENTS LIMITED,SINGAPORE,CIDVSGSG
EFG BANK AG SINGAPORE BRANCH,SINGAPORE,EFGBSGSG
INDIAN BANK,SINGAPORE,IDIBSGSG
MITSUBISHI UFJ TRUST AND BANKING CORPORATION,SINGAPORE,MTBCSGSG
SCHRODER INVESTMENT MANAGEMENT (SINGAPORE) LTD,SINGAPORE,SIMNSGSG
"TAIPEI FUBON COMMERCIAL BANK CO.,LTD",SINGAPORE,TPBKSGSG
THE MONETARY AUTHORITY OF SINGAPORE,SINGAPORE,MASGSGSCSSS
4 AFRICA EXCHANGE PTY LTD,PARKTOWN,AFEPZAJ2
AXON SECLEND (PTY) LTD,JOHANNESBURG,AXSPZAJ2
HABIB OVERSEAS BANK LIMITED,JOHANNESBURG,HOBLZAJJ
NEDGROUP SECURITIES (PTY) LTD,PIETERMARITZBURG,NBOEZAJ2011
